no,persona,scenario,turn_count,history,response,label,reason,reason_detail,axis
382,친구,고민·감정 상담,2,"나: 요즘 좀 지쳐 보이는데 괜찮아?
친구: 요즘은 퇴근하고 집에 오면 아무것도 하고 싶지 않아","응, 조금 더 들어보고 싶어. 그 일 이후의 상황도 천천히 들어볼게. 요즘 특히 더 힘들게 느껴지는 순간이 언제야?",적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
383,선후배,갈등 상황,3,"후배: 제가 불편했던 부분을 말씀드리고 싶습니다.
나: 네, 차분히 듣겠습니다.
후배: 공용 공간을 쓰고 정리하지 않는 건 너무하잖아요",우선 태도부터 고치셔야 할 것 같습니다. 조금이라도 미안한 줄은 아시나요?,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
384,연인,업무 대화,3,"연인: 어떻게 하는 게 나을지 고민되는 게 있어.
나: 어떤 기준으로 결정하고 싶어?
연인: 보고서 수치가 다를 때 원인을 효율적으로 찾는 방법이 있을까?","가장 먼저 원본 데이터의 기준일과 필터 조건부터 맞춘 뒤, 계산식과 수기 입력된 셀을 차례로 비교하는 게 빨라. 확인한 순서와 결과를 짧게 메모해두는 것도 좋아.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
385,직장 관계(상사·동료),업무 대화,4,"나: 배포 이후에 새로 확인된 내용이 있나요?
동료: 배포 이후 상황을 확인해봤어요.
나: 예상했던 결과와 비슷한가요?
동료: 처음 만든 API가 드디어 정상적으로 동작해요","오, 결과가 나왔군요. 다음 작업에 참고할 만한 부분이 있겠네요. 준비하거나 수정한 것 중에서 가장 도움이 된 부분은 뭐였어?",적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
387,부모님,정보 공유,2,"나: 일정은 어떻게 정해졌어?
엄마: 다음 달부터 관리비 납부일이 25일로 바뀐대",알겠어. 바뀐 일정으로 기억해둘게. 다른 내용은 그대로 두면 돼.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
388,직장 관계(상사·동료),갈등 상황,3,"동료: 서로 오해한 부분이 있는 것 같아요.
나: 네, 먼저 말씀해주세요.
동료: 제가 맡은 업무가 제 동의 없이 다른 사람에게 넘어간 점이 불편했습니다.",한 번만 더 그러시면 더는 함께 일하지 않겠습니다. 이 일은 상급자에게도 바로 알리겠습니다.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
389,연인,질문·요청,2,"나: 감정 더 상하기 전에 차분히 얘기하자.
연인: 늦어질 때 한마디라도 남겨줄 수 있어?",그것도 제대로 판단을 못 해? 대체 언제쯤 제대로 할 거야?,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
390,선후배,업무 대화,1,선배: 이번 주 일정표에 변경된 담당자를 반영해주실 수 있나요?,그건 다른 사람한테 물어보는 게 빠를 것 같아요. 제가 아니어도 해결할 수 있을 거예요.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
391,부모님,갈등 상황,1,엄마: 문제가 있으면 공개적으로 말하기 전에 나한테 먼저 알려주세요,알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 진행 상태도 중간에 알려줄게.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
392,연인,질문·요청,2,"나: 어디서부터 손대야 할지 모르겠어?
연인: 업무 인수인계 문서는 어느 정도까지 자세히 쓰는 게 좋아?","복잡하게 보기보다 업무 목적, 반복 절차, 예외 상황, 담당자 연락처 순으로 정리하면 처음 보는 사람도 따라가기 쉬워. 다른 사람 일정에 영향을 주는 일부터 먼저 확인해봐.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
393,형제·자매,질문·요청,4,"나: 아까 분위기가 안 좋았는데 무슨 일이었어?
동생: 내가 불편했던 부분을 말하고 싶어.
나: 내가 뭘 놓쳤는지 말해줘.
동생: 내 얘기를 다른 사람에게 전하기 전에는 나한테 물어봐 줄 수 있어?",항상 이런 식으로 일을 복잡하게 만드네. 말해봤자 또 똑같겠지.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
394,연인,일상 대화,1,연인: 운동을 다시 시작했는데 생각만큼 몸이 따라주지 않아 조금 속상해,기대했던 만큼 더 속상했겠다. 한 번의 결과로 네 노력이 사라지는 건 아니야.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
395,형제·자매,일상 대화,2,"나: 아까 부탁할 게 있다고 했지?
오빠: 오늘 저녁 메뉴를 못 고르겠어. 같이 좀 골라줘.",그런 건 네가 알아서 정해. 나까지 신경 쓰게 하지 마.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
396,친구,고민·감정 상담,3,"친구: 부탁할 게 하나 있어.
나: 뭘 부탁하려고 했어?
친구: 이 얘기를 어디서부터 풀어야 할지 모르겠어. 조금만 들어줘",지금 꼭 정해야 해? 내가 아니어도 해결할 수 있을 거야.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
397,직장 관계(상사·동료),갈등 상황,3,"동료: 저도 아까 일은 짚고 넘어가고 싶습니다.
나: 어떤 부분이 가장 불편하셨나요?
동료: 지금은 감정이 올라왔으니 저녁에 다시 얘기하자",좋아. 같은 일이 없도록 이 기준을 지키자. 변경 사항이 생기면 다시 알려주세요.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
398,연인,갈등 상황,2,"나: 아까부터 표정이 안 좋은데 무슨 일 있어?
연인: 내가 한 일을 사람들 앞에서 가볍게 말한 게 기분 나빴어.",그렇게 느끼게 해서 미안해. 다음부터는 네 이야기를 꺼내기 전에 먼저 물어볼게.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
399,직장 관계(상사·동료),업무 대화,2,"나: 제가 도울 수 있는 일이면 말씀해주세요.
선임: 회의 시간을 네 시로 변경해서 참석자들에게 알려주시겠어요?",그 얘기는 다음에 하죠. 제가 아니어도 해결할 수 있을 거예요.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
400,선후배,질문·요청,2,"나: 제가 도울 수 있는 일이면 말씀해주세요.
선배: 집주인에게 보낼 문자가 어색하지 않은지 읽어봐 주실 수 있나요?","응, 보내줘. 표현이 어색한 부분까지 같이 확인해줄게. 필요한 시간에 맞춰둘게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
401,형제·자매,질문·요청,2,"나: 마음에 걸리는 일 있으면 편하게 말해.
동생: 친구에게 먼저 연락하고 싶은데 또 거절당할까 봐 겁나. 내가 너무 걱정하는 걸까?",그 말을 꺼내는 것도 쉽지 않았겠다. 오늘은 결론을 서두르지 말고 조금 쉬어도 돼.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
402,부모님,정보 공유,1,아빠: 가족 모임 날짜가 정해졌는데 불편한 사람도 와서 마음이 무거워,그걸 힘들다고 하면 앞으로 더 힘든 일은 어떻게 하려고? 이제 그만 털고 일어나.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
404,형제·자매,갈등 상황,2,"나: 서로 다르게 이해한 부분이 있는 것 같아.
형: 내 이야기를 다른 사람에게 전하기 전에는 꼭 물어봐 줘",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 중간에 쉬고 싶으면 말해.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
405,선후배,갈등 상황,4,"나: 아까 일정 변경 건은 그냥 넘기지 말고 이야기했으면 합니다.
후배: 저도 말씀드리고 싶은 부분이 있습니다.
나: 어떤 부분이 가장 불편했나요?
후배: 일정을 바꾸기 전에 당사자에게 먼저 알려주셨어야 해요.",계속 문제 삼으시면 저도 가만있지 않겠습니다. 다른 사람들에게도 전부 알리겠습니다.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
406,직장 관계(상사·동료),업무 대화,2,"나: 고객사에서는 답변이 왔나요?
동료: 처음 만든 API가 드디어 정상적으로 동작해요",진행 상황이 정리됐네요. 해결 과정에서 배운 점이 있었을 것 같아요. 준비하거나 수정한 것 중에서 가장 도움이 된 부분은 뭐였어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
408,직장 관계(상사·동료),업무 대화,4,"나: 아까 분위기가 좋지 않았는데 어떤 일이었나요?
선임: 저도 아까 일은 짚고 넘어가고 싶습니다.
나: 네, 차분히 듣겠습니다.
선임: 역할을 바꾸려면 저에게 먼저 이야기해주셨어야죠",다음에는 저도 똑같이 대응하겠습니다. 누가 더 불편해지는지 한번 해보죠.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
409,부모님,정보 공유,4,"나: 지난번에 물어본 건 답 왔어?
엄마: 일단 지금 기준으로 결정된 게 있어.
나: 다른 변경 사항은 없어?
엄마: 계약서는 금요일 오후에 작성하기로 했어",확인했어. 필요한 준비는 그 일정에 맞출게. 현재 기준에서는 더 정할 건 없어.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
410,부모님,고민·감정 상담,1,아빠: 오늘은 해야 할 일 하나만 끝내고 일찍 쉬기로 했어,알겠어. 당분간은 현재 계획을 유지해보자.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
411,친구,고민·감정 상담,2,"나: 뭔가 신경 쓰이는 일이 있는 것 같아.
친구: 부모님과 진로 얘기만 하면 자꾸 다투게 돼서 답답해",별일도 아닌데 너무 의미를 두는 것 같아. 결국 마음먹기 나름이야.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
412,형제·자매,고민·감정 상담,4,"나: 마음에 걸리는 일 있으면 편하게 말해.
형: 사실 요즘 마음에 걸리는 게 있어.
나: 혼자 계속 생각하고 있었던 거야?
형: 가족 일로 신경 쓸 게 많아져서 집중이 잘 안 돼",그 얘기를 꺼내기까지 생각이 많았겠다. 말로 꺼내니 마음이 조금은 정리됐으면 좋겠다. 그중에서 네가 가장 기억에 남는 건 뭐야?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
413,직장 관계(상사·동료),고민·감정 상담,4,"나: 선택지 때문에 망설이는 부분이 있나요?
팀장: 선택지가 여러 개라 기준을 잡지 못했어요.
나: 원하시는 결과가 무엇인가요?
팀장: 번아웃인지 단순히 피곤한 건지 구분하려면 뭘 살펴봐야 할까요?","우선 수면과 식사, 집중력 저하가 얼마나 오래됐는지 먼저 기록해보고, 쉬어도 회복되지 않으면 상담이나 진료도 고려해봐. 혼자 계속 생각하기보다 작은 행동 하나를 정해보는 것도 좋아.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
414,선후배,질문·요청,4,"나: 서로 불편했던 부분은 한번 정리했으면 해요.
선배: 서로 오해한 부분이 있는 것 같아요.
나: 같은 일이 없으려면 무엇을 바꾸면 될까요?
선배: 역할을 바꾸기 전에 당사자와 먼저 상의해줄 수 있나요?",계속 말이 통하지 않으면 더 이상 연락하지 맙시다. 오늘 안에 결론이 나지 않으면 끝냅시다.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
416,친구,고민·감정 상담,3,"친구: 혼자 정리해보려 했는데 잘 안 되더라.
나: 언제부터 그렇게 느꼈어?
친구: 부모님과 진로 얘기만 하면 자꾸 다투게 돼서 답답해",그 정도는 네가 알아서 넘겨야지. 괜히 주변 사람까지 신경 쓰이게 하지 마.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
417,직장 관계(상사·동료),고민·감정 상담,2,"나: 아까부터 표정이 좋지 않던데 무슨 일 있으세요?
선임: 다음 달까지는 현재 계획을 유지해보고 다시 판단하려고 해요","그래요. 당장은 그 계획대로 해보고, 필요하면 다시 조정하죠. 지금은 추가로 바꿀 건 없어 보여.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
418,부모님,일상 대화,1,아빠: 처음으로 자전거 타고 출근했는데 생각보다 할 만했어,생각보다 기억에 남는 일이었나 보네. 직접 겪은 얘기라 더 생생하게 들린다. 직접 해보니 힘든 점보다 좋았던 점이 더 컸어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
419,선후배,업무 대화,3,"후배: 진행하면서 새로 확인한 내용이 있어요.
나: 문제는 해결됐나요?
후배: 지난번에 수정한 화면이 사용자 반응이 좋대요",좋은 변화가 있었네요. 관련된 팀 반응도 확인해보면 좋겠습니다. 준비하거나 수정한 것 중에서 가장 도움이 된 부분은 뭐였어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
420,친구,고민·감정 상담,2,"나: 요즘 사람들을 만나고 와도 표정이 안 좋더라.
친구: 같이 있어도 내 얘기는 아무도 안 듣는 것 같아서 외로워.",사람들 사이에서도 혼자라고 느꼈구나. 그동안 누구한테도 말 못 해서 더 답답했겠다.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
421,부모님,정보 공유,3,"엄마: 현재 상황만 간단히 알려줄게.
나: 그래, 현재 상황이 어떻게 돼?
엄마: 병원 예약은 다음 주 화요일 오전 열 시로 잡혔어",알려줘서 고마워. 일정이 가까워지면 다시 한 번 확인하자. 시간이나 준비해야 할 내용도 같이 바뀐 건 없어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
422,선후배,업무 대화,2,"나: 고객사에서는 답변이 왔나요?
선배: 프로젝트 발표 순서는 우리 팀이 세 번째예요",진행 상황이 정리됐네요. 다음 작업에 참고할 만한 부분이 있겠네요. 시간이나 준비해야 할 내용도 같이 바뀐 건 없나요?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
424,선후배,질문·요청,3,"선배: 가능한지 먼저 확인하고 싶은 게 있습니다.
나: 제가 할 수 있는 일인지 말씀해주세요.
선배: 이번 모임 예약을 대신해주실 수 있나요?",일단 넘어가고 다른 얘기하죠. 제가 아니어도 해결할 수 있을 거예요.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
425,연인,일상 대화,2,"나: 이번 주도 약속이 많아?
연인: 응, 계속 일정이 겹쳐서 주말에도 제대로 못 쉬었어.",다들 바쁘게 사는데 너만 힘든 것처럼 말하지 마.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
426,친구,정보 공유,4,"나: 확인해야 할 내용은 다 정리됐어?
친구: 확인된 내용이 있어서 말해두려고.
나: 그럼 다음에는 뭘 하면 돼?
친구: 병원 예약은 다음 주 화요일 오전 열 시로 잡혔어",알겠어. 일정이 그렇게 정해졌구나. 시간 외에 달라진 점도 있는지 확인해보자. 시간이나 준비해야 할 내용도 같이 바뀐 건 없어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
427,직장 관계(상사·동료),업무 대화,1,동료: 오늘 안에 수정된 화면을 QA 환경에 올려주실 수 있나요?,"몰라, 네가 알아서 해요. 제가 아니어도 해결할 수 있을 거예요.",부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
429,부모님,질문·요청,3,"엄마: 이번 일은 솔직히 서운한 부분이 있어.
나: 응, 차분히 들어볼게.
엄마: 문제가 생기면 공개적으로 지적하기 전에 먼저 이야기해줄래?",기본적인 것도 왜 매번 설명해줘야 해? 정말 믿고 맡길 수가 없다.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
430,직장 관계(상사·동료),업무 대화,3,"동료: 테스트 결과가 나와서 말씀드리려고 합니다.
나: 결과가 어떻게 나왔나요?
동료: 고객사에서 수정된 기능을 확인했다고 연락 왔습니다",확인된 내용이 있군요. 정리된 내용을 다음 회의에도 공유하면 좋겠네요. 사용자들이 특히 좋다고 한 부분이 어디였어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
431,선후배,업무 대화,2,"나: 제가 도울 수 있는 일이면 말씀해주세요.
후배: 신입에게 전달할 인수인계 문서를 같이 확인해주실래요?",지금은 좀 바빠. 나중에 보자. 오늘은 그 얘기까지 신경 쓸 여유가 없어요.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
432,부모님,고민·감정 상담,2,"나: 요즘 잠도 잘 못 자는 것 같던데 괜찮아?
아빠: 요즘 친구들을 만나도 혼자인 느낌이 들어",네가 유난스러운 게 아니라 충분히 힘들 만한 일이야. 지금까지 버틴 것만으로도 충분히 잘했어.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
433,형제·자매,갈등 상황,1,동생: 역할 분담은 다음 회의에서 다시 정하는 것으로 하겠습니다,그럼 다음부터는 지금 합의한 방식으로 진행하자. 일정이 가까워지면 한 번 더 확인하자.,적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
434,부모님,갈등 상황,1,아빠: 내가 맡은 일을 설명도 없이 다른 사람에게 넘긴 건 당황스러웠어.,네가 제대로 했으면 이런 문제도 없었잖아. 결국 문제는 항상 너야.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
435,친구,갈등 상황,1,친구: 네가 약속을 또 당일에 바꿔서 솔직히 많이 서운했어,요즘 정말 마음이 무거웠겠다. 지금 느끼는 감정을 그대로 인정해도 괜찮아.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
436,선후배,업무 대화,2,"나: 아까 연락 주신 이유가 부탁할 내용 때문인가요?
선배: 오늘 안에 수정된 화면을 QA 환경에 올려주실 수 있나요?",알겠습니다. 변경된 내용으로 반영한 뒤 다시 확인하겠습니다. 오늘 일정 안에서 처리해두겠습니다.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
437,형제·자매,고민·감정 상담,4,"나: 혼자 고민하는 게 있는 것 같아서 물어봤어.
동생: 오늘은 그냥 누군가한테 말하고 싶었어.
나: 그 일 때문에 많이 힘들었어?
동생: 오랫동안 준비한 일이 끝났는데 오히려 허무한 기분이 들어","응, 조금 더 들어보고 싶어. 네가 어떤 순간에 가장 힘든지 알고 싶어. 그중에서 네가 가장 기억에 남는 건 뭐야?",적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
438,선후배,업무 대화,4,"나: 오늘은 평소보다 말씀이 없으시네요. 무슨 일 있으셨어요?
선배: 별일 아닌 것 같아도 마음이 계속 무겁습니다.
나: 무슨 일인지 천천히 말씀해주세요.
선배: 요즘 업무가 한꺼번에 몰려서 우선순위를 못 잡겠어요",너무 크게 받아들이는 것 아니야? 다들 참고 하는 건데 너만 힘든 건 아니야.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
439,선후배,질문·요청,1,선배: 내일 아침 일곱 시에 한 번 깨워주실 수 있나요?,그건 잘 모르겠고 일단 네가 해봐. 오늘은 그 얘기까지 신경 쓸 여유가 없어요.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
440,부모님,일상 대화,2,"나: 그 뒤에 어떻게 됐는지 궁금했어.
아빠: 추천받은 영화를 봤는데 마지막 장면이 계속 기억에 남아","오, 그랬구나. 다음에도 해보고 싶은 경험이었는지 궁금해. 마지막 장면에서 어떤 부분이 가장 기억에 남았어?",적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
441,부모님,질문·요청,1,엄마: React에서 useEffect가 계속 반복 실행되는데 어디부터 확인해야 할까?,"내 생각에는 의존성 배열에 매 렌더링마다 새로 만들어지는 함수나 객체가 들어가는지 먼저 확인하고, 필요하면 useCallback이나 useMemo로 참조를 고정해봐. 현재 상태를 남겨두면 변경 전후를 비교하기 쉬워.",적절,P3,상황에 맞는 구체적인 정보나 실행 가능한 조언을 제공함,ok
443,연인,일상 대화,3,"연인: 저녁 메뉴 고르기가 어렵네.
나: 먹고 싶은 종류라도 있어?
연인: 딱히 없어서 그런데 같이 좀 골라줘.",그것까지 내가 정해줘야 해? 알아서 아무거나 먹어.,부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
444,연인,고민·감정 상담,4,"나: 마음에 걸리는 일 있으면 편하게 말해.
연인: 사실 요즘 마음에 걸리는 게 있어.
나: 혼자 계속 생각하고 있었던 거야?
연인: 일을 쉬고 있는데 앞으로 뭘 해야 할지 막막해",그걸 계속 신경 쓸 필요가 있어? 네가 스스로 문제를 크게 만드는 것 같아.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
445,연인,일상 대화,3,"연인: 같은 일이 반복되지 않게 얘기했으면 해.
나: 그때 어떤 기분이었어?
연인: 공용 공간을 쓰고 정리하지 않는 건 곤란해",생각을 조금만 했어도 이런 일은 안 생겼어. 이제는 핑계도 지겹다.,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
446,형제·자매,정보 공유,2,"나: 마음에 걸리는 일 있으면 편하게 말해.
언니: 발표 순서가 첫 번째로 정해져서 생각보다 부담이 커",남들도 다 비슷하게 힘들어. 이제 그만 털고 일어나.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
447,친구,질문·요청,4,"나: 혼자 하다가 막힌 게 있어?
친구: 부탁할 게 하나 있어.
나: 어느 부분을 확인하면 돼?
친구: 내일 면접 전에 자기소개 한번 들어봐 줄래?","응, 보내줘. 표현이 어색한 부분까지 같이 확인해줄게. 끝나면 바로 알려줄게.",적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
448,형제·자매,일상 대화,1,형: 예전에는 퇴근하면 바로 기타를 쳤는데 요즘은 손이 잘 안 가.,좋아하던 취미도 귀찮을 만큼 지쳤나 보다. 한동안 쉬었다가 마음 내킬 때 다시 해.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
449,형제·자매,질문·요청,4,"나: 뭐 도와줄 일 있어?
동생: 혼자 해보다가 잘 안 되는 게 있어.
나: 언제까지 필요한데?
동생: 집주인에게 보낼 문자가 어색하지 않은지 읽어봐 줄래?","글쎄, 나는 지금 다른 일 보고 있어. 오늘은 그 얘기까지 신경 쓸 여유가 없어.",부적절,N3,상대의 질문이나 요청에 답하지 않고 회피하거나 떠넘김,pragmatic_issue
450,친구,갈등 상황,2,"나: 아까 일 때문에 표정이 안 좋던데 무슨 일 있어?
친구: 다 같이 정한다더니 내 의견은 묻지도 않아서 기분이 상했어.",네 의견이 빠진 채 결정돼서 속상했겠다. 다음에는 먼저 말할 기회를 달라고 이야기해보자.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
451,직장 관계(상사·동료),고민·감정 상담,3,"동료: 요즘 부모님과 진로 이야기를 할 때마다 다투게 돼요.
나: 서로 원하는 방향이 많이 다른가요?
동료: 부모님은 안정적인 직장을 원하시는데 저는 다른 일을 해보고 싶어서요.",그 정도 갈등은 다 겪어요. 너무 크게 받아들이지 마세요.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
452,부모님,고민·감정 상담,3,"아빠: 사실 요즘 마음에 걸리는 게 있어.
나: 혼자 계속 생각하고 있었던 거야?
아빠: 부모님과 진로 얘기만 하면 자꾸 다투게 돼서 답답해",그냥 잊으면 되는 일을 왜 계속 생각해? 괜히 주변 사람까지 신경 쓰이게 하지 마.,부적절,N2,상대의 감정이나 어려움을 축소·무시하거나 유난으로 취급함,pragmatic_issue
453,부모님,갈등 상황,3,"엄마: 나도 아까 일은 짚고 넘어가고 싶어.
나: 어떤 부분이 가장 불편했어?
엄마: 약속을 계속 당일에 바꾸는 건 나를 전혀 고려하지 않는 것 같아",정말 책임감이 없는 것 같아. 조금이라도 미안한 줄은 알아?,부적절,N4,상대를 직접 비난·조롱하거나 인격을 공격하는 표현을 사용함,pragmatic_issue
454,친구,고민·감정 상담,3,"친구: 요즘 좋아하던 일도 시작하기 전부터 지쳐.
나: 일이 너무 많이 쌓였어?
친구: 해야 할 생각만 해도 숨이 막혀서 손을 못 대겠어.",시작하기도 전에 막막할 만큼 지쳤구나. 오늘은 꼭 필요한 일 하나만 하고 나머지는 미뤄도 괜찮아.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
455,부모님,고민·감정 상담,3,"엄마: 나도 왜 이러는지 모르겠는데 요즘 좀 지쳐.
나: 응, 내가 듣고 있을게.
엄마: 일을 쉬고 있는데 앞으로 뭘 해야 할지 막막해",그 상황이면 누구라도 힘들었을 거야. 당장 괜찮아지려고 애쓰지 않아도 돼.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
456,연인,갈등 상황,2,"나: 서로 불편했던 부분은 한번 정리했으면 해.
연인: 연락 없이 늦어져서 걱정도 됐고 서운하기도 했어",기대했던 만큼 더 속상했겠다. 지금까지 버틴 것만으로도 충분히 잘했어.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
457,부모님,일상 대화,2,"나: 아까 얘기하려던 거 뭐였어?
엄마: 어제 혼자 전시회에 갔는데 천천히 볼 수 있어서 오히려 좋았어",그 얘기 들으니 궁금해진다. 그 뒤에 이어진 일도 있었는지 궁금하다. 작품 중에서 제일 오래 보고 온 건 뭐였어?,적절,P4,상대의 말에 자연스럽게 호응하고 관련된 질문으로 대화를 이어감,ok
458,선후배,업무 대화,1,선배: 역할을 바꾸려면 저에게 먼저 이야기해주셨어야죠,이대로면 책임 소재를 공식적으로 따지겠습니다. 더 이야기할 필요가 없으니 당분간 연락하지 마세요.,부적절,N5,위협·보복·관계 단절 등을 언급해 갈등을 불필요하게 확대함,pragmatic_issue
459,형제·자매,질문·요청,1,형: 회의 시간이 네 시로 바뀐 거 확인했어?,"응, 네 시로 변경된 것 확인했어. 추가로 확인되는 게 있으면 이어서 알려줘.",적절,P5,과도한 감정 표현 없이도 현재 대화의 목적과 맥락에 맞게 반응함,ok
460,형제·자매,갈등 상황,2,"나: 서로 다르게 이해한 부분이 있는 것 같아.
형: 문제가 있으면 공개적으로 말하기 전에 나한테 먼저 알려주세요",알겠어. 다음부터는 먼저 이야기하고 네 의견을 확인할게. 처리한 뒤 한 번 더 확인할게.,적절,P2,상대의 질문이나 요청에 직접 답하고 필요한 행동을 분명히 약속함,ok
461,형제·자매,일상 대화,4,"나: 요즘 퇴근하고도 기타를 안 치네.
동생: 응, 예전에는 재미있었는데 요즘은 손이 안 가.
나: 일 때문에 많이 지친 거야?
동생: 그런가 봐. 집에 오면 아무것도 하기 싫어.",좋아하던 것도 하기 싫을 만큼 지쳤구나. 이번 주는 쉬고 주말에 같이 바람 쐬러 가자.,적절,P1,상대가 드러낸 감정과 상황을 인정하고 위로하거나 격려함,ok
